area,bedrooms,bathrooms,age,parking,location,furnishing,price
1156,1,2,0,2,Urban,Semi-Furnished,3806367
619,4,2,12,1,Urban,Furnished,2361100
1330,3,3,25,1,Rural,Unfurnished,4213456
2310,5,3,6,2,Suburban,Furnished,7439049
1581,1,1,27,1,Rural,Semi-Furnished,4739786
2474,5,3,25,2,Suburban,Semi-Furnished,7871904
1869,1,1,4,1,Urban,Unfurnished,5879699
1240,2,1,7,0,Suburban,Furnished,4013691
616,1,3,24,0,Rural,Furnished,2007040
2353,4,1,26,2,Rural,Furnished,7399990
3338,3,2,13,1,Urban,Semi-Furnished,10425986
1650,2,3,22,1,Suburban,Furnished,5284762
3964,1,2,29,0,Suburban,Unfurnished,12017600
2431,5,3,12,0,Suburban,Semi-Furnished,7753774
1512,2,1,14,2,Urban,Semi-Furnished,4918777
2164,2,3,22,0,Suburban,Furnished,6787810
1581,1,2,16,2,Rural,Unfurnished,4896703
1133,2,1,14,0,Suburban,Semi-Furnished,3638347
1012,5,3,19,0,Urban,Semi-Furnished,3545204
3349,2,3,17,1,Suburban,Furnished,10373085
1619,5,3,17,0,Suburban,Furnished,5339854
1641,1,2,1,0,Rural,Unfurnished,5055797
1059,3,2,3,2,Suburban,Furnished,3635269
987,2,3,29,0,Rural,Unfurnished,3082779
3808,3,1,0,2,Rural,Semi-Furnished,11650207
1396,5,1,3,0,Urban,Unfurnished,4706615
3843,2,2,17,0,Rural,Unfurnished,11638980
1712,4,1,4,2,Rural,Unfurnished,5404117
1203,3,2,18,1,Urban,Semi-Furnished,3967141
1970,2,3,14,2,Rural,Furnished,6151344
1080,3,2,27,2,Urban,Semi-Furnished,3601896
3337,2,2,7,2,Suburban,Furnished,10416353
3408,1,3,19,1,Urban,Unfurnished,10525813
2794,3,1,16,0,Rural,Unfurnished,8564431
3647,4,2,0,2,Urban,Unfurnished,11456679
653,4,2,11,2,Rural,Unfurnished,2197681
2179,5,3,25,1,Suburban,Unfurnished,6969903
1496,2,1,18,2,Urban,Furnished,4855228
3657,3,2,14,0,Suburban,Furnished,11287582
3244,5,3,8,1,Rural,Unfurnished,10104683
3856,3,2,6,0,Rural,Semi-Furnished,11727397
1743,2,3,1,0,Suburban,Semi-Furnished,5505799
1592,4,1,28,1,Urban,Unfurnished,5157011
3618,1,1,8,2,Urban,Furnished,11267183
1508,4,1,9,0,Rural,Semi-Furnished,4779254
2641,5,1,1,0,Suburban,Semi-Furnished,8295264
2273,1,2,18,0,Suburban,Semi-Furnished,6985317
1457,5,2,10,0,Urban,Unfurnished,4858914
3559,2,1,12,1,Urban,Semi-Furnished,11037633
952,1,1,9,1,Urban,Semi-Furnished,3133254
1727,5,1,13,0,Suburban,Semi-Furnished,5525096
3459,2,2,17,2,Urban,Semi-Furnished,10746785
2765,4,1,18,0,Urban,Furnished,8771344
3021,2,1,21,2,Rural,Unfurnished,9223643
2979,3,1,8,0,Urban,Unfurnished,9319546
2888,2,3,24,2,Urban,Furnished,9147091
1050,2,1,6,0,Suburban,Furnished,3463603
2135,3,3,27,2,Suburban,Unfurnished,6709412
1812,5,3,2,0,Rural,Semi-Furnished,5773658
3825,5,1,19,0,Urban,Semi-Furnished,11966841
2257,2,3,5,2,Rural,Unfurnished,6990549
856,3,1,26,1,Suburban,Semi-Furnished,2777549
2570,3,2,20,2,Rural,Furnished,8021216
2285,4,2,1,1,Suburban,Semi-Furnished,7208739
3069,5,2,28,0,Rural,Semi-Furnished,9432209
2281,1,2,5,2,Rural,Semi-Furnished,7020968
3671,5,3,2,2,Urban,Unfurnished,11554116
3349,5,1,15,2,Rural,Furnished,10387045
3751,4,1,29,1,Urban,Semi-Furnished,11621327
3794,1,1,7,1,Urban,Unfurnished,11653709
3309,4,2,1,0,Urban,Semi-Furnished,10378617
2989,1,2,16,1,Urban,Furnished,9355139
2131,2,1,8,1,Rural,Semi-Furnished,6503905
3316,1,2,29,0,Suburban,Furnished,10194148
1515,4,1,11,2,Suburban,Semi-Furnished,4915603
1848,5,1,2,2,Suburban,Furnished,6088095
1015,1,1,10,0,Rural,Semi-Furnished,3097919
3587,1,1,0,2,Urban,Furnished,11194521
3339,3,1,22,1,Suburban,Semi-Furnished,10315905
835,5,1,12,0,Rural,Semi-Furnished,2794400
2282,2,1,14,0,Urban,Unfurnished,7186150
2805,4,2,25,0,Suburban,Unfurnished,8733446
996,2,1,4,2,Urban,Furnished,3432428
1395,5,1,20,0,Suburban,Semi-Furnished,4522894
2707,1,2,29,0,Suburban,Furnished,8384149
1351,1,2,16,0,Suburban,Unfurnished,4187447
2187,5,2,24,2,Urban,Furnished,7098499
2431,1,1,22,1,Rural,Furnished,7418041
3237,1,3,23,0,Urban,Unfurnished,9986315
2927,1,3,24,1,Suburban,Semi-Furnished,8944299
2068,4,2,5,2,Urban,Furnished,6728994
1456,4,3,27,2,Rural,Unfurnished,4689414
3238,3,2,20,2,Urban,Semi-Furnished,10155163
3998,2,1,21,2,Rural,Unfurnished,12079489
2136,5,3,10,1,Rural,Furnished,6869647
1791,5,1,17,0,Urban,Semi-Furnished,5801355
1940,5,3,3,2,Suburban,Semi-Furnished,6317805
1691,3,1,2,2,Rural,Unfurnished,5307367
1566,4,3,12,1,Urban,Unfurnished,5211355
784,3,1,22,1,Rural,Unfurnished,2548349
2944,5,1,8,2,Suburban,Semi-Furnished,9273173
511,2,3,20,0,Urban,Semi-Furnished,1834996
2130,1,1,5,0,Urban,Furnished,6734387
3873,4,1,25,2,Urban,Semi-Furnished,11992089
3824,4,1,29,1,Suburban,Furnished,11892827
3046,3,3,27,2,Rural,Unfurnished,9334659
1253,4,3,11,2,Urban,Unfurnished,4262178
2582,5,1,1,1,Rural,Semi-Furnished,8089965
3274,5,1,2,2,Rural,Unfurnished,10169268
3396,3,3,2,2,Suburban,Unfurnished,10599042
589,5,3,27,2,Urban,Semi-Furnished,2313726
1275,2,1,11,1,Rural,Furnished,4053111
3152,3,1,14,0,Urban,Semi-Furnished,9792565
3517,2,1,8,0,Urban,Furnished,10984242
2125,1,2,22,1,Suburban,Semi-Furnished,6533884
3569,2,3,7,0,Urban,Semi-Furnished,11050199
917,1,2,10,2,Urban,Unfurnished,3091038
614,1,3,15,0,Rural,Semi-Furnished,1959786
1116,2,3,25,2,Suburban,Semi-Furnished,3627294
3767,3,3,26,0,Urban,Furnished,11797015
1325,5,3,24,1,Rural,Unfurnished,4271178
2149,5,3,21,0,Suburban,Furnished,6887665
2016,1,3,3,0,Suburban,Furnished,6312534
3646,1,3,27,0,Rural,Unfurnished,11065828
912,3,2,0,1,Rural,Unfurnished,2952132
3947,4,1,23,0,Rural,Unfurnished,12011110
3991,2,1,6,1,Rural,Semi-Furnished,12119754
1228,1,2,1,2,Rural,Unfurnished,3845580
3848,5,2,23,0,Urban,Unfurnished,11980469
3568,3,2,27,1,Urban,Unfurnished,11094016
3308,2,2,4,1,Suburban,Furnished,10272233
1175,3,3,6,0,Urban,Furnished,4049708
3965,2,1,3,2,Urban,Semi-Furnished,12267232
2392,2,3,4,1,Urban,Furnished,7701450
3004,1,1,23,0,Rural,Semi-Furnished,9082437
3467,3,1,0,2,Suburban,Furnished,10785409
2739,3,2,0,1,Suburban,Unfurnished,8516324
3286,5,3,14,1,Suburban,Furnished,10328738
1622,5,2,19,2,Suburban,Semi-Furnished,5252054
2071,1,3,18,2,Urban,Furnished,6616709
1477,1,1,28,0,Urban,Unfurnished,4690643
1508,4,2,9,0,Rural,Semi-Furnished,4716363
2643,5,2,27,1,Suburban,Unfurnished,8265358
2187,2,1,17,2,Urban,Unfurnished,6850240
3210,3,1,27,2,Urban,Semi-Furnished,10018201
3761,1,1,2,2,Rural,Unfurnished,11394689
536,3,2,10,1,Rural,Unfurnished,1769936
3940,3,3,14,2,Rural,Furnished,12193074
2048,4,2,26,2,Urban,Unfurnished,6585965
2826,5,3,29,1,Urban,Unfurnished,9007534
2764,1,2,10,0,Rural,Unfurnished,8332882
3414,3,2,16,0,Suburban,Unfurnished,10490224
1372,1,1,16,1,Rural,Semi-Furnished,4164825
2321,2,3,5,2,Rural,Furnished,7283740
1796,4,2,4,1,Rural,Unfurnished,5638885
2609,2,2,7,0,Rural,Unfurnished,7963056
1095,1,1,1,0,Urban,Semi-Furnished,3516203
2403,1,1,15,1,Suburban,Unfurnished,7389241
1228,5,3,19,1,Rural,Semi-Furnished,3958244
1865,3,2,23,0,Suburban,Furnished,5987322
896,3,3,11,1,Suburban,Furnished,3124619
1198,2,2,5,0,Suburban,Unfurnished,3815584
3590,4,3,0,1,Rural,Unfurnished,11038521
2724,3,1,3,1,Urban,Unfurnished,8566017
2135,5,2,16,1,Rural,Semi-Furnished,6686541
895,2,3,12,0,Suburban,Unfurnished,2930063
2992,2,1,17,1,Suburban,Unfurnished,9212268
3804,5,1,4,0,Urban,Furnished,11978952
575,4,3,29,0,Rural,Unfurnished,2000054
764,5,2,23,1,Suburban,Furnished,2745563
3002,4,2,23,1,Urban,Unfurnished,9429752
2319,5,1,26,0,Suburban,Furnished,7410233
1217,5,2,2,0,Urban,Unfurnished,4109567
3282,1,2,10,2,Urban,Furnished,10222121
3955,2,2,12,0,Rural,Semi-Furnished,11952674
1350,5,1,3,2,Suburban,Furnished,4570411
1890,5,3,25,2,Rural,Furnished,6096275
643,3,2,26,2,Suburban,Furnished,2324081
1384,2,1,13,1,Rural,Unfurnished,4255140
3640,3,1,21,1,Suburban,Unfurnished,11137327
3670,2,3,10,0,Rural,Unfurnished,11200663
895,3,2,26,2,Urban,Semi-Furnished,3056331
3596,5,2,9,1,Suburban,Semi-Furnished,11173004
3495,5,3,18,1,Suburban,Furnished,10949492
3438,1,3,17,1,Urban,Semi-Furnished,10644797
1992,3,1,5,1,Rural,Furnished,6254095
3722,4,1,26,1,Suburban,Furnished,11507749
1667,1,3,28,2,Suburban,Furnished,5318217
3116,3,2,14,2,Rural,Semi-Furnished,9609044
1562,3,1,20,2,Urban,Unfurnished,5025045
2656,1,1,29,2,Rural,Semi-Furnished,8000116
1565,5,2,9,0,Rural,Furnished,5035667
1709,3,1,4,2,Rural,Furnished,5444057
3482,5,2,25,1,Suburban,Semi-Furnished,10850205
2945,1,2,28,2,Urban,Furnished,9186302
3794,5,2,4,0,Urban,Furnished,11925283
1133,2,3,9,1,Rural,Semi-Furnished,3571935
1656,4,3,27,2,Suburban,Semi-Furnished,5366534
3734,3,3,4,2,Rural,Semi-Furnished,11518342
1738,4,2,2,2,Suburban,Furnished,5671624
1232,5,2,22,1,Suburban,Furnished,4125440
734,3,3,5,1,Suburban,Unfurnished,2548501
3205,5,1,3,0,Suburban,Unfurnished,10026333
1250,2,2,17,1,Urban,Semi-Furnished,4047269
3135,1,1,27,1,Suburban,Unfurnished,9508868
3580,3,1,8,2,Suburban,Furnished,11104251
3645,2,2,16,1,Rural,Unfurnished,11110909
1453,2,2,28,2,Rural,Furnished,4617523
3039,3,1,12,2,Urban,Semi-Furnished,9501729
3460,5,1,26,1,Rural,Semi-Furnished,10593734
3824,2,3,14,0,Suburban,Furnished,11806429
3801,4,3,29,0,Rural,Unfurnished,11626337
2042,2,2,19,1,Urban,Semi-Furnished,6458325
1697,5,3,16,0,Rural,Semi-Furnished,5432600
2176,5,3,12,2,Rural,Unfurnished,6896514
1691,4,3,15,2,Urban,Unfurnished,5531433
2717,2,3,21,1,Urban,Furnished,8558111
1916,5,1,3,0,Suburban,Unfurnished,6135753
3493,3,2,4,0,Rural,Unfurnished,10711583
3342,1,3,4,2,Suburban,Unfurnished,10321620
3181,1,1,8,1,Rural,Furnished,9678751
1717,1,1,16,0,Rural,Furnished,5245453
2040,2,1,12,1,Suburban,Semi-Furnished,6381844
2576,4,3,1,0,Rural,Furnished,8084968
3736,5,3,12,2,Rural,Semi-Furnished,11544077
1945,3,2,21,2,Rural,Unfurnished,6027775
2886,3,3,20,1,Urban,Semi-Furnished,9086144
2019,2,3,26,2,Suburban,Semi-Furnished,6333570
1888,1,1,22,0,Urban,Unfurnished,5896097
2356,2,2,18,2,Suburban,Semi-Furnished,7306503
1865,4,3,2,1,Suburban,Furnished,6033779
999,4,3,9,1,Rural,Furnished,3405840
2180,5,1,1,1,Suburban,Furnished,6968755
1010,5,1,12,0,Urban,Furnished,3555263
3898,4,3,18,0,Urban,Semi-Furnished,12153087
716,4,2,25,0,Urban,Semi-Furnished,2550281
1824,4,2,16,0,Suburban,Unfurnished,5801482
1655,2,1,20,0,Urban,Semi-Furnished,5259857
2327,4,1,13,2,Suburban,Semi-Furnished,7292400
3641,3,3,11,0,Urban,Semi-Furnished,11331115
3823,1,1,20,0,Urban,Unfurnished,11673249
3986,4,3,11,2,Suburban,Furnished,12442825
2310,1,2,10,0,Urban,Semi-Furnished,7194600
2992,2,2,6,1,Rural,Unfurnished,9131706
3423,1,3,3,0,Suburban,Unfurnished,10472222
1705,2,1,18,0,Suburban,Unfurnished,5358041
2714,3,2,0,1,Suburban,Furnished,8543139
590,2,1,27,1,Rural,Semi-Furnished,1857302
1213,2,2,23,1,Suburban,Unfurnished,3917684
2381,5,3,28,1,Urban,Furnished,7764838
538,4,3,2,0,Urban,Unfurnished,2118159
3697,4,3,12,1,Urban,Unfurnished,11535646
672,3,2,14,1,Suburban,Unfurnished,2281543
1152,3,1,1,2,Urban,Unfurnished,3918496
1253,4,1,10,1,Suburban,Unfurnished,4061785
1743,5,1,3,1,Urban,Furnished,5831353
1581,4,2,18,2,Rural,Semi-Furnished,4988406
2183,5,2,28,2,Rural,Semi-Furnished,6881992
3023,3,2,16,0,Rural,Semi-Furnished,9248428
955,1,2,2,2,Rural,Semi-Furnished,2984777
1328,3,2,27,0,Suburban,Furnished,4327939
1394,3,1,17,2,Urban,Furnished,4651026
1884,2,2,7,2,Rural,Furnished,5954450
2458,2,2,21,0,Suburban,Unfurnished,7571553
3572,2,1,24,2,Rural,Unfurnished,10811548
2934,2,2,23,0,Rural,Unfurnished,8929221
2496,5,1,25,2,Suburban,Semi-Furnished,7845265
2895,4,1,18,1,Suburban,Unfurnished,8989701
689,1,3,4,2,Urban,Semi-Furnished,2440287
1004,3,3,6,0,Urban,Unfurnished,3396727
1714,5,3,20,2,Rural,Semi-Furnished,5482717
2031,1,3,7,0,Rural,Unfurnished,6201427
3940,5,2,27,0,Urban,Unfurnished,12242692
3980,5,3,4,1,Urban,Furnished,12553625
1323,3,1,16,1,Suburban,Unfurnished,4211918
1428,4,2,4,0,Urban,Unfurnished,4727136
1433,2,3,3,2,Urban,Furnished,4805409
1640,4,1,21,0,Rural,Semi-Furnished,5073577
633,3,2,18,0,Urban,Furnished,2388155
2605,3,2,26,2,Rural,Furnished,8142246
1184,3,3,20,2,Urban,Semi-Furnished,4023731
3219,1,2,1,2,Suburban,Unfurnished,9882689
2720,4,1,10,2,Urban,Semi-Furnished,8571154
2352,4,2,21,0,Urban,Unfurnished,7518948
1314,5,1,12,0,Urban,Unfurnished,4369341
1672,5,2,14,1,Rural,Semi-Furnished,5365554
579,5,3,11,0,Suburban,Furnished,2259681
3433,3,1,21,2,Urban,Semi-Furnished,10673330
3784,4,2,20,1,Rural,Unfurnished,11629759
702,3,2,21,2,Suburban,Semi-Furnished,2432416
3311,1,2,10,0,Rural,Semi-Furnished,10059807
1752,5,1,6,1,Rural,Unfurnished,5527313
2199,3,1,27,2,Suburban,Furnished,6939900
1750,3,1,4,1,Urban,Semi-Furnished,5670840
2182,1,3,16,1,Rural,Unfurnished,6658695
2055,2,3,23,0,Rural,Unfurnished,6289225
3973,4,1,19,2,Urban,Semi-Furnished,12387072
2594,2,2,8,1,Urban,Furnished,8272367
1756,5,3,13,1,Suburban,Semi-Furnished,5701156
3876,3,1,25,2,Suburban,Furnished,12005209
2049,1,2,11,1,Suburban,Furnished,6472453
1666,1,3,5,1,Urban,Furnished,5405829
3986,4,2,16,1,Rural,Furnished,12316908
1896,2,2,18,2,Rural,Semi-Furnished,5827938
3830,4,2,18,2,Suburban,Unfurnished,11863164
3203,3,2,25,2,Urban,Unfurnished,10013530
970,4,3,15,2,Rural,Unfurnished,3228199
3518,1,3,11,0,Suburban,Unfurnished,10782282
1535,1,3,11,1,Rural,Unfurnished,4740801
1853,5,1,19,2,Rural,Unfurnished,5800465
3283,5,3,5,1,Urban,Semi-Furnished,10352326
3331,3,2,22,1,Urban,Furnished,10412659
1467,2,3,25,0,Rural,Unfurnished,4551289
857,4,2,3,2,Suburban,Semi-Furnished,2942594
3519,3,1,5,2,Urban,Unfurnished,10921763
3979,5,2,10,1,Rural,Unfurnished,12285657
1167,4,2,0,2,Urban,Furnished,4041828
872,5,2,29,1,Urban,Furnished,3165588
1531,4,1,23,1,Urban,Furnished,5038221
1645,2,3,22,0,Rural,Unfurnished,5042211
1871,3,3,14,0,Suburban,Unfurnished,5888569
3223,4,1,26,0,Suburban,Unfurnished,9993894
589,1,2,10,1,Suburban,Furnished,2044860
3245,1,3,24,2,Urban,Semi-Furnished,10088558
3887,4,1,18,0,Rural,Unfurnished,11850337
3749,4,3,17,2,Urban,Unfurnished,11745311
1039,4,1,16,0,Suburban,Unfurnished,3378515
3279,1,2,18,0,Suburban,Semi-Furnished,10032695
1368,1,3,20,1,Rural,Unfurnished,4261227
540,4,1,13,0,Urban,Semi-Furnished,1998904
1239,5,3,26,0,Suburban,Unfurnished,4114935
2446,5,3,17,1,Rural,Semi-Furnished,7657790
3049,2,3,27,2,Urban,Unfurnished,9541580
3506,3,3,18,0,Urban,Furnished,11027148
3716,5,1,14,1,Suburban,Furnished,11555636
1724,1,2,14,0,Suburban,Furnished,5461129
1428,5,1,3,1,Urban,Furnished,4810892
2536,2,1,6,2,Urban,Unfurnished,7937672
3008,2,1,12,2,Suburban,Furnished,9305812
3279,3,2,2,1,Urban,Semi-Furnished,10309621
3299,5,3,15,1,Suburban,Furnished,10357654
1424,1,3,8,1,Urban,Furnished,4700633
3456,1,3,7,2,Suburban,Furnished,10681143
2081,4,2,19,0,Rural,Unfurnished,6470934
3824,1,3,12,2,Suburban,Furnished,11825334
889,3,2,16,1,Suburban,Semi-Furnished,2944087
2117,3,3,16,1,Rural,Furnished,6620618
3430,1,3,16,2,Urban,Furnished,10676446
755,1,1,0,1,Rural,Furnished,2482182
1208,4,2,7,2,Suburban,Semi-Furnished,4008867
2338,1,1,18,1,Urban,Furnished,7359028
2444,4,1,5,0,Rural,Semi-Furnished,7562101
2997,4,1,2,0,Urban,Semi-Furnished,9394200
509,1,2,26,1,Urban,Furnished,1930107
3371,2,2,4,2,Rural,Semi-Furnished,10343074
1297,2,3,12,0,Urban,Unfurnished,4268465
3813,4,1,14,2,Rural,Furnished,11797436
3822,1,3,13,1,Suburban,Furnished,11817892
1376,2,1,28,2,Urban,Semi-Furnished,4480559
1528,1,2,22,0,Suburban,Semi-Furnished,4739148
3690,1,2,15,2,Suburban,Furnished,11402928
1515,1,2,17,2,Urban,Unfurnished,4831698
2324,5,1,21,1,Rural,Semi-Furnished,7222470
873,1,2,28,1,Urban,Semi-Furnished,2935071
3636,5,1,21,1,Suburban,Unfurnished,11267660
2693,4,3,10,0,Suburban,Unfurnished,8452910
723,2,1,2,0,Rural,Furnished,2360450
1762,2,3,21,1,Urban,Unfurnished,5660463
2724,2,1,9,1,Suburban,Furnished,8467757
2302,2,3,9,0,Suburban,Unfurnished,7206012
1352,2,2,29,0,Suburban,Semi-Furnished,4278247
3853,2,3,20,0,Rural,Furnished,11811015
562,2,2,15,0,Suburban,Furnished,1977390
1740,4,2,11,1,Suburban,Furnished,5664116
3374,1,3,1,0,Urban,Unfurnished,10423161
3342,3,1,8,1,Urban,Semi-Furnished,10392152
1188,5,1,23,2,Suburban,Furnished,4048171
1984,3,1,2,2,Suburban,Furnished,6393833
2133,3,1,23,0,Urban,Furnished,6783836
2652,1,1,29,2,Rural,Furnished,8138367
3670,1,2,24,2,Rural,Semi-Furnished,11128543
1010,1,1,29,2,Rural,Unfurnished,3097648
884,2,2,14,0,Rural,Semi-Furnished,2760331
904,4,2,2,0,Rural,Furnished,3008763
3370,2,2,18,2,Rural,Semi-Furnished,10293444
1017,4,3,17,1,Rural,Furnished,3450109
975,4,3,7,2,Rural,Unfurnished,3210187
2500,3,2,25,0,Urban,Unfurnished,7821957
3256,3,3,16,0,Rural,Unfurnished,9930379
2168,4,1,7,0,Rural,Furnished,6777959
2393,4,1,6,2,Rural,Semi-Furnished,7469018
3318,2,2,29,1,Suburban,Unfurnished,10153105
1960,2,1,6,0,Urban,Furnished,6228877
3594,3,2,2,0,Urban,Furnished,11266353
3544,1,2,0,2,Urban,Semi-Furnished,11015788
3224,4,1,3,1,Rural,Unfurnished,9962870
1213,2,3,24,2,Rural,Furnished,3935585
582,3,1,4,0,Suburban,Semi-Furnished,2051308
1668,2,1,0,1,Urban,Unfurnished,5355567
3656,4,2,14,1,Rural,Semi-Furnished,11227913
3649,4,2,4,0,Urban,Semi-Furnished,11351637
3004,5,2,12,1,Suburban,Furnished,9520778
2401,1,2,7,1,Suburban,Furnished,7491025
2548,5,3,7,2,Suburban,Furnished,8239508
550,3,3,4,0,Urban,Semi-Furnished,2114464
1184,2,3,27,0,Rural,Furnished,3746742
1216,3,2,8,0,Rural,Semi-Furnished,3803831
1969,4,2,0,0,Suburban,Semi-Furnished,6302092
948,5,2,3,0,Rural,Furnished,3268879
1380,5,3,2,1,Suburban,Unfurnished,4634370
987,5,2,1,2,Urban,Unfurnished,3505762
2323,3,1,7,0,Suburban,Unfurnished,7283958
2581,4,1,22,2,Urban,Semi-Furnished,8207741
3919,2,2,8,2,Suburban,Semi-Furnished,12009830
2642,2,1,1,1,Rural,Semi-Furnished,8079044
3643,3,1,13,0,Rural,Furnished,11186948
2074,5,3,13,1,Suburban,Semi-Furnished,6675202
2701,1,2,3,0,Rural,Furnished,8274045
749,3,2,29,1,Rural,Furnished,2535322
1173,3,3,5,2,Rural,Unfurnished,3810051
937,4,1,10,0,Urban,Unfurnished,3197627
2665,2,1,2,2,Rural,Unfurnished,8126198
1270,3,2,7,2,Urban,Furnished,4345521
3877,3,1,2,1,Suburban,Furnished,11986475
767,5,3,13,0,Rural,Furnished,2664403
2484,5,3,27,2,Rural,Semi-Furnished,7731681
1577,1,2,12,1,Rural,Furnished,4958555
735,4,3,12,0,Suburban,Unfurnished,2614122
888,1,3,1,0,Urban,Unfurnished,2994292
3537,5,2,12,2,Urban,Furnished,11172629
1262,2,3,28,0,Rural,Furnished,4043246
2348,5,3,18,2,Suburban,Unfurnished,7533864
2948,4,3,26,0,Suburban,Furnished,9289814
1123,5,1,5,1,Suburban,Unfurnished,3717417
3314,4,2,15,2,Suburban,Semi-Furnished,10296765
3874,4,2,1,2,Suburban,Unfurnished,12044499
3466,4,2,7,0,Urban,Semi-Furnished,10850574
3778,4,1,16,0,Urban,Furnished,11852545
1752,4,1,22,2,Urban,Furnished,5739675
3400,2,2,1,0,Rural,Semi-Furnished,10380267
1077,1,1,9,1,Suburban,Furnished,3483563
2622,3,2,27,0,Rural,Semi-Furnished,7983332
934,1,1,15,1,Suburban,Furnished,3021177
2650,4,3,5,1,Urban,Unfurnished,8489254
3993,2,3,27,1,Rural,Furnished,12233447
1263,5,2,1,1,Urban,Unfurnished,4324104
3285,2,1,1,1,Suburban,Unfurnished,10137335
3353,4,1,25,0,Suburban,Semi-Furnished,10369730
1829,2,3,12,1,Suburban,Furnished,5807951
2645,2,3,23,0,Urban,Semi-Furnished,8257333
3345,4,1,14,1,Suburban,Furnished,10408673
1858,2,1,27,2,Urban,Unfurnished,5880870
3406,3,1,1,1,Rural,Unfurnished,10437101
2982,3,1,6,2,Suburban,Furnished,9306821
946,2,1,2,1,Suburban,Furnished,3139494
2517,5,1,7,1,Suburban,Semi-Furnished,7986477
1831,4,2,22,1,Rural,Furnished,5833160
748,3,1,13,2,Suburban,Furnished,2568835
665,5,3,23,2,Urban,Furnished,2577646
3531,2,2,29,1,Urban,Semi-Furnished,10942360
1858,5,1,22,0,Suburban,Furnished,5977335
1519,1,3,26,1,Suburban,Unfurnished,4784351
1041,3,2,21,2,Rural,Semi-Furnished,3283429
1258,2,3,28,1,Rural,Semi-Furnished,3919950
3677,4,1,6,2,Rural,Unfurnished,11299654
2628,2,1,20,2,Suburban,Unfurnished,8132143
2680,4,1,6,2,Rural,Unfurnished,8339186
1296,2,1,0,1,Rural,Furnished,4165889
3447,5,2,16,2,Urban,Unfurnished,10886527
